10	Preparatory systems
45-25-15/333	Plastics rising bollards	45-25-15
45-25-15/335	Stainless steel rising bollards	45-25-15
45-25-15/341	Aluminium alloy telescopic bollards	45-25-15
45-25-15/343	Carbon steel telescopic bollards	45-25-15
45-25-15/345	Plastics telescopic bollards	45-25-15
45-25-15/347	Stainless steel telescopic bollards	45-25-15
45-25-18	Bolting, latching and locking hardware	45-25
45-25-18/310	Door and window locks and latches	45-25-18
45-25-18/320	Door catches	45-25-18
45-25-18/330	Door multipoint and special function locks	45-25-18
45-25-18/340	Door privacy indicator bolts	45-25-18
45-25-18/350	Emergency exit devices	45-25-18
45-25-18/360	Fanlight catches	45-25-18
45-25-18/370	Field gate spring catch sets	45-25-18
45-25-18/380	Gate latches and catches	45-25-18
45-25-18/390	Gate throw over loops	45-25-18
45-25-18/400	Multipoint handle operated espagnolette bolts	45-25-18
45-25-18/410	Padlock hasps and staples	45-25-18
45-25-18/420	Padlocks	45-25-18
45-25-18/430	Panic exit devices	45-25-18
45-25-18/440	Single point bolts	45-25-18
45-25-18/450	Thief resistant door locks	45-25-18
45-25-18/460	Window locks	45-25-18
45-25-18/470	Window sash fasteners	45-25-18
45-25-20	Damp proof courses	45-25
45-25-20/305	Bitumen based damp proof courses and/ or cavity trays	45-25-20
45-25-20/310	Bitumen polymer damp proof courses and/ or cavity trays	45-25-20
45-25-20/315	Coping or capping damp proof courses	45-25-20
45-25-20/320	Copper damp proof courses and/ or cavity trays	45-25-20
45-25-20/325	Ethylene propylene damp proof courses and/ or cavity trays	45-25-20
45-25-20/330	Gas-resistant damp proof courses	45-25-20
45-25-20/335	Lead damp proof courses and/ or cavity trays	45-25-20
45-25-20/340	Pitch polymer damp proof courses and/ or cavity trays	45-25-20
45-25-20/345	Polyethylene damp proof courses and/ or cavity trays	45-25-20
45-25-20/350	Polypropylene damp proof courses and/ or cavity trays	45-25-20
45-25-20/360	Mastic asphalt damp proof courses	45-25-20
45-25-20/370	Clay brick damp proof courses	45-25-20
45-25-20/375	Granite damp proof courses	45-25-20
45-25-20/380	Slate damp proof courses	45-25-20
45-25-20/400	Gas resistant preformed cavity trays and cloaks	45-25-20
45-25-20/405	Gas resistant preformed cavity trays	45-25-20
45-25-20/410	Insertion cavity trays	45-25-20
45-25-20/415	Preformed cavity trays	45-25-20
45-25-20/420	Preformed cavity trays and cloaks	45-25-20
45-25-20/430	Cold applied roofing membrane adhesive damp proof course joint sealer	45-25-20
45-25-20/435	Damp proof course joint sealer adhesive	45-25-20
45-25-20/440	Double sided tape damp proof course joint sealer	45-25-20
45-25-20/445	Cavity closer and damp proof course supports	45-25-20
45-25-20/450	Perpend joint plastics weep holes	45-25-20
45-25-20/455	Plastics cavity closers	45-25-20
45-25-25	Decorative papers	45-25
45-25-25/310	Non-woven linings	45-25-25
45-25-25/315	Linen backed lining papers	45-25-25
45-25-25/320	Lining papers	45-25-25
45-25-25/330	Product samples of coverings	45-25-25
45-25-25/335	Cork roll coverings	45-25-25
45-25-25/340	Heavy duty roll coverings	45-25-25
45-25-25/345	Ingrain roll coverings	45-25-25
45-25-25/350	Metal foil roll coverings	45-25-25
45-25-25/355	Metallic effect roll coverings	45-25-25
45-25-25/360	Metallized roll coverings	45-25-25
45-25-25/365	Mural roll coverings	45-25-25
45-25-25/370	Relief roll coverings	45-25-25
45-25-25/375	Textile roll coverings	45-25-25
45-25-25/380	Textured effect roll coverings	45-25-25
45-25-25/385	Vinyl roll coverings	45-25-25
45-25-25/390	Paper roll coverings	45-25-25
45-25-25/395	Images and logos	45-25-25
45-25-25/410	Borders	45-25-25
45-25-28	Doors and hatches	45-25
45-25-28/310	Aluminium door frames	45-25-28
45-25-28/312	Composite door frames	45-25-28
45-25-28/314	Steel door frames	45-25-28
45-25-28/316	Wood door frames	45-25-28
45-25-28/320	Composite door leaves	45-25-28
45-25-28/322	Frameless glass door leaves	45-25-28
45-25-28/324	Matchboarded door leaves	45-25-28
45-25-28/326	Metal door leaves	45-25-28
45-25-28/328	PVC-U door leaves	45-25-28
45-25-28/330	Wood flush door leaves	45-25-28
45-25-28/332	Wood panelled door leaves	45-25-28
45-25-28/340	Combination doorsets	45-25-28
45-25-28/342	Composite doorsets	45-25-28
45-25-28/344	Metal doorsets	45-25-28
45-25-28/346	PVC-U doorsets	45-25-28
45-25-28/348	Wood doorsets	45-25-28
45-25-28/352	Automatic revolving doorsets	45-25-28
45-25-28/354	Manual revolving doorsets	45-25-28
45-25-28/356	Collapsible gate and grille sets	45-25-28
45-25-28/358	Flexible doorsets	45-25-28
45-25-28/360	High speed doorsets	45-25-28
45-25-28/362	Loading bay doorsets	45-25-28
45-25-28/364	Sectional overhead doorsets	45-25-28
45-25-28/366	Sliding door and partition sets	45-25-28
45-25-28/368	Sliding folding shutter doorsets	45-25-28
45-25-28/370	Sliding stacking panel partitions	45-25-28
45-25-28/372	High security doorsets	45-25-28
45-25-28/374	Up-and-over doorsets	45-25-28
45-25-28/410	PVC strip curtain sets	45-25-28
45-25-28/412	Roller grille sets	45-25-28
45-25-28/414	Roller shutter sets	45-25-28
45-25-28/420	Floor hatches	45-25-28
45-25-28/422	Roof hatches	45-25-28
45-25-28/424	Wall hatches	45-25-28
45-25-28/426	Aluminium access hatches	45-25-28
45-25-28/428	Carbon steel access hatches	45-25-28
45-25-28/430	Stainless steel access hatches	45-25-28
45-25-28/432	Self closing trapdoor	45-25-28
45-25-28/440	Dock levellers	45-25-28
45-25-28/442	Dock shelters	45-25-28
45-25-35	Gate and access point barrier products	45-25
45-25-35/301	Aluminium gates	45-25-35
45-25-35/303	Carbon steel gates	45-25-35
45-25-35/305	Composite gates	45-25-35
45-25-35/309	Glazed gates	45-25-35
45-25-35/311	Plastics gates	45-25-35
45-25-35/313	Stainless steel gates	45-25-35
45-25-35/315	Wood gates	45-25-35
45-25-35/317	Wrought iron gates	45-25-35
45-25-35/321	Carbon steel bridle gates	45-25-35
45-25-35/323	Carbon steel dog gates	45-25-35
45-25-35/325	Carbon steel kissing gates	45-25-35
45-25-35/327	Carbon steel motorbike inhibitors	45-25-35
45-25-35/331	Wood bridle gates	45-25-35
45-25-35/333	Wood dog gates	45-25-35
45-25-35/335	Wood kissing gates	45-25-35
45-25-35/337	Wood ladder stiles	45-25-35
45-25-35/339	Wood post and rail stiles	45-25-35
45-25-35/341	Aluminium full height turnstiles	45-25-35
45-25-35/343	Carbon steel full height turnstiles	45-25-35
45-25-35/345	Carbon steel half height turnstiles	45-25-35
45-25-35/347	Stainless steel full height turnstiles	45-25-35
45-25-35/349	Stainless steel half height turnstiles	45-25-35
45-25-35/351	Aluminium sheet gate leaves	45-25-35
45-25-35/353	Aluminium vertical rail gate leaves	45-25-35
45-25-35/361	Carbon steel expanded mesh gate leaves	45-25-35
45-25-35/363	Carbon steel field gate leaves	45-25-35
45-25-35/365	Carbon steel palisade gate leaves	45-25-35
45-25-35/367	Carbon steel sheet gate leaves	45-25-35
45-25-35/369	Carbon steel vertical section gate leaves	45-25-35
45-25-35/371	Carbon steel welded mesh gate leaves	45-25-35
45-25-35/373	Stainless steel expanded mesh gate leaves	45-25-35
45-25-35/375	Stainless steel sheet gate leaves	45-25-35
45-25-35/377	Stainless steel vertical rail gate leaves	45-25-35
45-25-35/381	Wrought iron decorative gate leaves	45-25-35
45-25-35/383	Wrought iron vertical rail gate leaves	45-25-35
45-25-35/391	Glazing plastics gate leaves	45-25-35
45-25-35/393	Prefabricated plastics gate leaves	45-25-35
45-25-35/401	Glass infill gate leaves	45-25-35
45-25-35/411	Plywood sheet gate leaves	45-25-35
45-25-35/413	Prefabricated wood gate leaves	45-25-35
45-25-35/415	Wood field gate leaves	45-25-35
45-25-35/417	Wood palisade gate leaves	45-25-35
45-25-35/421	Gate arch	45-25-35
45-25-35/423	Height restrictors	45-25-35
45-25-35/425	Metal gate surrounds	45-25-35
45-25-35/427	Wood gate surrounds	45-25-35
45-25-35/431	Folding gate automation mechanisms	45-25-35
45-25-35/433	Hinged and swing gate automation mechanisms	45-25-35
45-25-35/435	Hydraulic automation mechanisms	45-25-35
45-25-35/437	Rising arm automation mechanisms	45-25-35
45-25-35/439	Sliding gate automation mechanisms	45-25-35
45-25-38	General hardware	45-25
45-25-38/305	Air transfer grilles	45-25-38
45-25-38/310	Coat hooks	45-25-38
45-25-38/315	Door knockers	45-25-38
45-25-38/320	Door stops	45-25-38
45-25-38/325	Escutcheons	45-25-38
45-25-38/330	Fire-resisting air transfer grilles	45-25-38
45-25-38/335	Fire-resisting air transfer grilles with smoke shutters	45-25-38
45-25-38/340	Kick plates	45-25-38
45-25-38/345	Letter boxes	45-25-38
45-25-38/350	Letter plate internal flaps or seals	45-25-38
45-25-38/355	Letter plates	45-25-38
45-25-38/360	Security viewers	45-25-38
45-25-38/365	Ships bell	45-25-38
45-25-38/370	Trickle vents	45-25-38
45-25-38/405	Carbon steel droppers	45-25-38
45-25-38/410	Fencing brackets	45-25-38
45-25-38/415	Fencing cleats	45-25-38
45-25-38/420	Fixing rings	45-25-38
45-25-38/425	Split rings	45-25-38
45-25-38/430	Fencing strainers	45-25-38
45-25-38/435	Fencing wedges	45-25-38
45-25-38/440	Pre-formed lashing rods	45-25-38
45-25-38/445	Rotating vane toppings	45-25-38
45-25-38/450	Safety reflectors	45-25-38
45-25-38/455	Stretcher bars	45-25-38
45-25-42	Hinges and hanging hardware	45-25
45-25-42/310	Anti finger-trap stiles	45-25-42
45-25-42/320	Boxed sash window hanging fittings	45-25-42
45-25-42/330	Cabinet and counter top hinges	45-25-42
45-25-42/340	Door hinges	45-25-42
45-25-42/350	Door pivots	45-25-42
45-25-42/360	Door track and running gear	45-25-42
45-25-42/370	Drawer runners	45-25-42
45-25-42/380	Field gate hinges	45-25-42
45-25-42/390	Floor springs	45-25-42
45-25-42/400	Gate hinges	45-25-42
45-25-42/410	Sash window spiral balances	45-25-42
45-25-42/420	Single axis door hinges	45-25-42
45-25-42/430	Single axis window hinges	45-25-42
45-25-42/440	Window friction pivot hinges	45-25-42
45-25-42/450	Window hinges	45-25-42
45-25-42/460	Window projection hinges	45-25-42
45-25-45	Lightweight cladding and roofing panels	45-25
45-25-45/305	Aggregate faced GRP panels	45-25-45
45-25-45/310	Aluminium cassette panels	45-25-45
45-25-45/315	Aluminium composite material (ACM’s) panels	45-25-45
45-25-45/320	Aluminium composite panels	45-25-45
45-25-45/325	Aluminium external panels	45-25-45
45-25-45/330	Aluminium infill panels	45-25-45
45-25-45/335	Aluminium internal panels	45-25-45
45-25-45/340	Carbon steel composite panels	45-25-45
45-25-45/345	Carbon steel external panels	45-25-45
45-25-45/350	Carbon steel infill panels	45-25-45
45-25-45/355	Carbon steel internal panels	45-25-45
45-25-45/360	Ceramic panels	45-25-45
45-25-45/365	Composite stone panels	45-25-45
45-25-45/370	Compressed rock fibre panels	45-25-45
45-25-45/375	Exterior quality wood fibre reinforced thermosetting resin panels	45-25-45
45-25-45/380	Natural stone panels	45-25-45
45-25-45/385	Preweathered zinc cassette panels	45-25-45
45-25-45/390	Stainless steel cassette panels	45-25-45
45-25-45/395	Stainless steel composite panels	45-25-45
45-25-45/400	Stainless steel external panels	45-25-45
45-25-45/405	Stainless steel infill panels	45-25-45
45-25-45/410	Stainless steel internal panels	45-25-45
45-25-45/415	Terracotta panels	45-25-45
45-25-50	Louvres and ancillaries	45-25
45-25-50/305	Aluminium louvre panel units	45-25-50
45-25-50/310	Carbon steel louvre panel units	45-25-50
45-25-50/312	Stainless steel louvre panel units	45-25-50
45-25-50/315	Wood louvre panel units	45-25-50
45-25-50/330	Screening and ventilation louvre support frames	45-25-50
45-25-50/335	Screening and ventilation louvre access doors	45-25-50
45-25-50/340	Aluminium louvre frames	45-25-50
45-25-50/345	Carbon steel louvre frames	45-25-50
45-25-50/350	Stainless steel louvre frames	45-25-50
45-25-50/355	Wood louvre frames	45-25-50
45-25-50/360	Aluminium louvre blades	45-25-50
45-25-50/365	Glass louvre blades	45-25-50
45-25-50/370	Carbon steel louvre blades	45-25-50
45-25-50/375	Plastic louvre blades	45-25-50
45-25-50/380	Stainless steel louvre blades	45-25-50
45-25-50/385	Wood louvre blades	45-25-50
45-25-50/395	Aluminium brise-soleil louvre blades	45-25-50
45-25-50/400	Glass brise-soleil louvre blades	45-25-50
45-25-50/405	Carbon steel brise-soleil louvre blades	45-25-50
45-25-50/410	Wood brise-soleil louvre blades	45-25-50
45-25-50/415	Aluminium brise-soleil carrier members	45-25-50
45-25-50/416	Carbon steel brise-soleil carrier members	45-25-50
45-25-50/417	Stainless steel brise-soleil carrier members	45-25-50
45-25-50/418	Wood brise-soleil carrier members	45-25-50
45-25-50/420	Brise-soleil fixed blade panels	45-25-50
45-25-50/425	Aluminium brise-soleil support arms	45-25-50
45-25-50/430	Carbon steel brise-soleil support arms	45-25-50
45-25-50/435	Stainless steel brise-soleil support arms	45-25-50
45-25-50/437	Wood brise-soleil support arms	45-25-50
45-25-50/439	Aluminium brise-soleil struts	45-25-50
45-25-50/440	Carbon steel brise-soleil struts	45-25-50
45-25-50/445	Stainless steel brise-soleil struts	45-25-50
45-25-50/450	Insect guard mesh	45-25-50
45-25-50/455	Bird guard mesh	45-25-50
45-25-50/460	Mounting brackets for louvre and shading systems	45-25-50
45-25-58	Operable vehicular barriers	45-25
45-25-58/310	Heavy-duty cantilevered sliding beams	45-25-58
45-25-58/320	Heavy-duty sliding barriers	45-25-58
45-25-58/330	Rising arm barriers	45-25-58
45-25-58/350	Horizontal swing barriers	45-25-58
45-25-58/360	Height restrictor	45-25-58
45-25-60	Operating hardware	45-25
45-25-60/305	Controlled door closers	45-25-60
45-25-60/310	Door coordinators	45-25-60
45-25-60/315	Door lever handle sets	45-25-60
45-25-60/320	Door limiting stays	45-25-60
45-25-60/325	Garage door holders	45-25-60
45-25-60/330	Gate closers	45-25-60
45-25-60/335	Gate handles	45-25-60
45-25-60/340	Gate springs	45-25-60
45-25-60/345	Gate wheels	45-25-60
45-25-60/350	Holders and hooks	45-25-60
45-25-60/355	Knobsets	45-25-60
45-25-60/360	Midrail push plates	45-25-60
45-25-60/365	Pull handles	45-25-60
45-25-60/370	Push plates	45-25-60
45-25-60/375	Sash window pulls	45-25-60
45-25-60/380	Uncontrolled door closers	45-25-60
45-25-60/385	Window casement fasteners	45-25-60
45-25-60/390	Window casement stays	45-25-60
45-25-60/395	Window latch and lock operating handles	45-25-60
45-25-60/400	Window over centre casement stays	45-25-60
45-25-60/405	Window remote manual openers	45-25-60
45-25-60/410	Window restrictor stays	45-25-60
45-25-62	Posts and post accessories	45-25
45-25-62/361	Aluminium alloy posts	45-25-62
45-25-62/363	Carbon steel posts	45-25-62
45-25-62/365	Stainless steel posts	45-25-62
45-25-62/367	Cast iron posts	45-25-62
45-25-62/369	Plastics posts	45-25-62
45-25-62/371	Precast concrete posts	45-25-62
45-25-62/373	Hardwood posts	45-25-62
45-25-62/375	Softwood posts	45-25-62
45-25-62/379	Carbon steel electric security fencing posts	45-25-62
45-25-62/381	Wood hand posts	45-25-62
45-25-62/383	Carbon steel wind posts	45-25-62
45-25-62/385	Stainless steel wind posts	45-25-62
45-25-62/401	Aluminium post tops	45-25-62
45-25-62/403	Carbon steel post tops	45-25-62
45-25-62/405	Cast iron post tops	45-25-62
45-25-62/407	Hardwood post tops	45-25-62
45-25-62/409	Plastics post tops	45-25-62
45-25-62/411	Precast concrete post tops	45-25-62
45-25-62/413	Softwood post tops	45-25-62
45-25-62/415	Stainless steel post tops	45-25-62
45-25-62/417	Carbon steel extension arms	45-25-62
45-25-62/419	Precast concrete extension arms	45-25-62
45-25-62/421	Adjustable post bases	45-25-62
45-25-62/423	Stand-off post bases	45-25-62
45-25-66	Precast concrete retaining wall products	45-25
45-25-66/310	Modular precast reinforced concrete stem wall units	45-25-66
45-25-66/320	Precast concrete interlocking blocks	45-25-66
45-25-66/330	Precast concrete panels	45-25-66
45-25-66/340	Precast concrete crib wall units	45-25-66
45-25-68	Precast concrete walling products	45-25
45-25-68/310	Precast concrete solid wall and composite wall units	45-25-68
45-25-68/320	Precast concrete structural insulated panels (SIPs)	45-25-68
45-25-75	Sills and Copings	45-25
45-25-75/310	Clayware coping units	45-25-75
45-25-75/312	Precast concrete coping units	45-25-75
45-25-75/314	Cast stone coping units	45-25-75
45-25-75/316	Slate coping units	45-25-75
45-25-75/318	Natural stone coping units	45-25-75
45-25-75/320	Calcium silicate coping units	45-25-75
45-25-75/322	Clay brick coping units	45-25-75
45-25-75/340	Clayware capping units	45-25-75
45-25-75/342	Precast concrete capping units	45-25-75
45-25-75/344	Cast stone capping units	45-25-75
45-25-75/346	Slate capping units	45-25-75
45-25-75/348	Natural stone capping units	45-25-75
45-25-75/350	Calcium silicate capping units	45-25-75
45-25-75/352	Clay brick capping units	45-25-75
45-25-75/370	Clayware sills	45-25-75
45-25-75/372	Precast concrete sills	45-25-75
45-25-75/374	Cast stone sills	45-25-75
45-25-75/376	Slate sills	45-25-75
45-25-75/378	Natural stone sills	45-25-75
45-25-75/380	Calcium silicate sills	45-25-75
45-25-75/382	Clay brick sills	45-25-75
45-25-75/400	Steel sills	45-25-75
45-25-75/410	External extension sills	45-25-75
45-25-95	Wall ties, restraints and masonry supports	45-25
45-25-95/310	Cavity wall ties	45-25-95
45-25-95/315	Cavity wall ties to BS EN 845-1	45-25-95
45-25-95/320	Channel slot ties	45-25-95
45-25-95/325	General purpose slip ties	45-25-95
45-25-95/327	Masonry repair ties	45-25-95
45-25-95/330	Shear wall ties	45-25-95
45-25-95/335	Shear wall ties to BS EN 845-1	45-25-95
45-25-95/340	Stainless steel drive ties	45-25-95
45-25-95/345	Stainless steel expansion ties	45-25-95
45-25-95/350	Stainless steel resin-bonded ties	45-25-95
45-25-95/355	Surface mounted channels	45-25-95
45-25-95/370	Head restraint slip ties	45-25-95
45-25-95/372	Lateral restraint ties	45-25-95
45-25-95/375	Restraints at head of non-loadbearing walls	45-25-95
45-25-95/380	Tension straps	45-25-95
45-25-95/400	Bracketed angle support	45-25-95
45-25-95/405	Individual brackets	45-25-95
45-25-95/410	Masonry supports	45-25-95
45-25-95/415	Plain angle support	45-25-95
45-25-95/420	Wall starters and connectors	45-25-95
45-25-95/425	Wind posts	45-25-95
45-25-95/450	Meshwork joint reinforcement	45-25-95
45-25-97	Window ancillaries	45-25
45-25-97/310	PVC-U subframes	45-25-97
45-25-97/320	Wood subframes	45-25-97
45-25-97/345	Anti-burglar bars	45-25-97
45-25-97/350	Security screens	45-25-97
45-25-97/360	Overhead ventilators	45-25-97
45-25-99	Windows	45-25
45-25-99/310	Aluminium window units	45-25-99
45-25-99/320	Composite window units	45-25-99
45-25-99/330	PVC-U window units	45-25-99
45-25-99/340	Steel window units	45-25-99
45-25-99/350	Wood window units	45-25-99
45-25-99/360	Aluminium frame roof window units	45-25-99
45-25-99/370	Rigid polyurethane frame roof window units	45-25-99
45-25-99/380	Steel frame roof window units	45-25-99
45-25-99/390	Wood frame roof window units	45-25-99
45-25-99/410	Framed rooflights	45-25-99
45-25-99/420	Daylight pipes	45-25-99
45-25-99/435	Double glazed diffusers	45-25-99
45-25-99/440	Ventilating diffusers	45-25-99
45-25-99/450	Roof ventilator unit	45-25-99
45-30	Fixed access, tunnel, tower and vessel products	45
45-30-15	Refuse and linen chute products	45-30
45-30-15/310	Disposal chutes	45-30-15
45-30-15/320	Linen chutes	45-30-15
45-30-15/330	Floor level support frames	45-30-15
45-30-15/335	Disposal chute hoppers	45-30-15
45-30-15/345	Linen chute hoppers	45-30-15
45-30-15/355	Chute cleaning mechanism	45-30-15
45-30-15/360	Door interlocks	45-30-15
45-30-15/365	Automatic fire door	45-30-15
45-30-15/370	Discharge outlets for disposal chute	45-30-15
45-30-15/375	Discharge outlet for linen chute	45-30-15
45-30-15/380	Refuse and recycling separation	45-30-15
45-30-15/385	Acoustic coating	45-30-15
45-30-15/390	Disposal containers	45-30-15
45-30-15/395	Linen containers	45-30-15
45-30-40	Industrial floor plates and stair treads	45-30
45-30-40/310	Aluminium cold formed planks	45-30-40
45-30-40/315	Carbon steel cold formed planks	45-30-40
45-30-40/320	Stainless steel cold formed planks	45-30-40
45-30-40/325	Aluminium expanded gratings	45-30-40
45-30-40/330	Carbon steel expanded gratings	45-30-40
45-30-40/335	Stainless steel expanded gratings	45-30-40
45-30-40/340	GRP moulded open mesh gratings	45-30-40
45-30-40/345	Open bar GRP gratings	45-30-40
45-30-40/350	Aluminium open bar metal gratings	45-30-40
45-30-40/355	Carbon steel open bar metal gratings	45-30-40
45-30-40/360	Stainless steel open bar metal gratings	45-30-40
45-30-40/370	Solid GRP plates	45-30-40
45-30-40/375	Aluminium solid metal plates	45-30-40
45-30-40/380	Carbon steel stair treads	45-30-40
45-30-40/385	Stainless steel stair treads	45-30-40
45-30-40/400	Aluminium edging section	45-30-40
45-30-40/405	Carbon steel edging section	45-30-40
45-30-40/410	Stainless steel edging section	45-30-40
45-30-60	Precast concrete stair, plinth and bund products	45-30
45-30-60/310	Precast concrete helical stair flight units	45-30-60
45-30-60/320	Precast concrete spiral stair flight units	45-30-60
45-30-60/330	Precast concrete step units	45-30-60
45-30-60/340	Precast concrete stair flight units	45-30-60
45-30-60/350	Precast concrete stair flight and landing units	45-30-60
45-30-60/360	Precast concrete stair landing units	45-30-60
45-30-60/370	Precast concrete glazed stair treads	45-30-60
45-30-60/410	Precast concrete bund units	45-30-60
45-30-60/420	Precast concrete plinth units	45-30-60
45-30-75	Stairs, ladders and guarding	45-30
45-30-75/330	Manufactured stone balusters	45-30-75
45-30-75/345	Timber spindles	45-30-75
45-30-75/380	Manufactured stone step units	45-30-75
45-30-75/400	Aluminium loft ladders	45-30-75
45-30-75/405	Timber loft ladders	45-30-75
45-30-75/455	Aluminium safety gates	45-30-75
45-30-75/460	Carbon steel safety gates	45-30-75
45-30-75/465	Stainless steel safety gates	45-30-75
45-30-75/470	Self closing safety hatches	45-30-75
45-30-75/475	Aluminium ladder safety cages	45-30-75
45-30-75/480	Carbon steel ladder safety cages	45-30-75
45-30-75/485	Stainless steel ladder safety cages	45-30-75
45-30-75/490	Standard curved internal staircases	45-30-75
45-30-75/495	Standard straight internal staircases	45-30-75
45-35	FF&E, signage and general finishing products	45
45-35-00	Access boxes and frames	45-35
45-35-00/310	Access covers and frames	45-35-00
45-35-00/315	Access covers and gratings	45-35-00
45-35-00/320	Access and inspection chambers	45-35-00
45-35-00/325	Large surface boxes	45-35-00
45-35-00/330	Large surface boxes for fire hydrants	45-35-00
45-35-00/335	Preformed access ducts	45-35-00
45-35-00/340	Small surface boxes	45-35-00
45-35-10	Buckets and Bins	45-35
45-35-10/310	Plastics bulk storage fire sand bins	45-35-10
45-35-10/315	Plastics fire buckets	45-35-10
45-35-10/320	Galvanized steel fire buckets	45-35-10
45-35-10/325	Wall brackets for fire buckets	45-35-10
45-35-10/330	Dustbins	45-35-10
45-35-10/335	Waste bins	45-35-10
45-35-20	Chairs, desks and tables	45-35
45-35-20/310	Classroom seating	45-35-20
45-35-20/315	Classroom desks and tables	45-35-20
45-35-20/320	School art, design and technology tables and workbenches	45-35-20
45-35-20/325	Laboratory work benches and tables	45-35-20
45-35-20/330	Office chairs	45-35-20
45-35-20/335	Office desks	45-35-20
45-35-20/340	Office tables	45-35-20
45-35-20/345	Fixed seating	45-35-20
45-35-20/350	Retractable and demountable seating	45-35-20
45-35-20/355	Stacking chairs	45-35-20
45-35-20/360	Benches and linked seats	45-35-20
45-35-20/365	Domestic chairs	45-35-20
45-35-24	Dispensing and acceptance units	45-35
45-35-24/301	Barrier parking control units	45-35-24
45-35-24/303	Pay and display equipment	45-35-24
45-35-24/305	Parking meters	45-35-24
45-35-24/307	Leaflet dispensers	45-35-24
45-35-24/309	Donation boxes	45-35-24
45-35-25	Display and presentation fittings and equipment	45-35
45-35-25/305	Audio visual furniture	45-35-25
45-35-25/310	Chalkboards	45-35-25
45-35-25/315	Demountable podia and staging	45-35-25
45-35-25/320	Freestanding screens	45-35-25
45-35-25/325	Presentation lecterns	45-35-25
45-35-25/330	Teaching walls	45-35-25
45-35-25/335	Whiteboards	45-35-25
45-35-28	Extinguishers and fire fighting equipment	45-35
45-35-28/320	Carbon dioxide fire extinguishers	45-35-28
45-35-28/330	Dry powder fire extinguishers	45-35-28
45-35-28/340	Foam fire extinguishers	45-35-28
45-35-28/350	Water fire extinguishers	45-35-28
45-35-28/360	Wet chemical fire extinguishers	45-35-28
45-35-28/380	Fire buckets	45-35-28
45-35-28/390	Type 1 fire blankets	45-35-28
45-35-28/400	Type 2 fire blankets	45-35-28
45-35-28/410	Fire equipment cabinets, built in	45-35-28
45-35-28/420	Fire equipment cabinets, surface mounted	45-35-28
45-35-28/450	Fire trolleys	45-35-28
45-35-28/460	Mounting brackets	45-35-28
45-35-28/470	Floor stands	45-35-28
45-35-30	Factory coatings to custom-made metalwork	45-35
45-35-30/310	Powder coating	45-35-30
45-35-30/320	Powder coating for steel fencing components and mesh	45-35-30
45-35-30/330	Galvanized coating to bolt assemblies	45-35-30
45-35-30/340	Sherardized coating to bolt assemblies	45-35-30
45-35-30/350	Zinc plated finish to bolt assemblies	45-35-30
45-35-30/360	Hot dip galvanizing	45-35-30
45-35-30/370	Polyvinylidene fluoride (pvdf) coating	45-35-30
45-35-30/380	Anodizing	45-35-30
45-35-35	General fittings, furnishings and equipment products	45-35
45-35-35/310	Curtains	45-35-35
45-35-35/320	Polyester silk plants	45-35-35
45-35-35/330	Preserved plants	45-35-35
45-35-35/340	Fireplace hearths	45-35-35
45-35-35/350	Fireplace surrounds	45-35-35
45-35-35/360	Freestanding screens	45-35-35
45-35-35/370	Inset open fires	45-35-35
45-35-35/380	Mailroom trolleys	45-35-35
45-35-35/390	Refreshment dispensers	45-35-35
45-35-35/395	Solid fuel room heaters	45-35-35
45-35-35/397	Wood burning stoves	45-35-35
45-35-35/400	Coat racks	45-35-35
45-35-35/410	Telephone enclosures	45-35-35
45-35-35/420	Entrance matting	45-35-35
45-35-35/430	Loose laid matting	45-35-35
45-35-35/440	Curtain supports	45-35-35
45-35-35/450	Wall mounted furniture support rails	45-35-35
45-35-45	Labels	45-35
45-35-45/320	Delivery labels for plants	45-35-45
45-35-45/330	Permanent labels for plants	45-35-45
45-35-45/340	Nails with identification washers	45-35-45
45-35-45/350	Warning marker tapes	45-35-45
45-35-50	Liquid applied waterproofing	45-35
45-35-50/305	Bitumen primers	45-35-50
45-35-50/310	Modified bitumen primers	45-35-50
45-35-50/315	Acrylic based waterproof coatings	45-35-50
45-35-50/320	Bitumen emulsion waterproof coatings	45-35-50
45-35-50/325	Hot applied polymer modified bitumen waterproof coatings	45-35-50
45-35-50/330	Polyester resin waterproof coatings	45-35-50
45-35-50/335	Cold applied polymer modified bitumen waterproof coatings	45-35-50
45-35-50/340	Polyurethane waterproof coatings	45-35-50
45-35-50/345	Epoxy resin coatings	45-35-50
45-35-50/350	Thermoplastic block copolymer waterproof coatings	45-35-50
45-35-50/355	Water dispersible polymer waterproof coatings	45-35-50
45-35-50/360	Membrane walkway coating	45-35-50
45-35-50/365	Bitumen bonding compound	45-35-50
45-35-50/370	Synthetic bonding compound	45-35-50
45-35-55	Mirrors and noticeboards	45-35
45-35-55/310	Large mirrors	45-35-55
45-35-55/320	Small mirrors	45-35-55
45-35-55/330	Magnetic boards	45-35-55
45-35-55/340	Notice boards	45-35-55
45-35-55/350	Pin boards	45-35-55
45-35-60	Play and sports equipment	45-35
45-35-60/311	See-saws	45-35-60
45-35-60/313	Sit-on rockers	45-35-60
45-35-60/315	Traditional rockers	45-35-60
45-35-60/317	Wobble boards	45-35-60
45-35-60/319	Runways	45-35-60
45-35-60/321	Slides	45-35-60
45-35-60/323	Roundabouts	45-35-60
