
B	COMPLETE BUILDINGS/ STRUCTURES/ UNITS
F22/540	SUPPORT OF EXISTING WORK	F22
F30	ACCESSORIES/ SUNDRY ITEMS FOR BRICK/ BLOCK/ STONE  WALLING	F
F30/10	FULL FILL CAVITY INSULATION	F30
F30/110	CONCRETE FILL TO BASE OF CAVITY	F30
F30/12	PARTIAL FILL CAVITY INSULATION	F30
F30/120	CLEANLINESS	F30
F30/130	PERPEND JOINT WEEP HOLES	F30
F30/131	BED JOINT WEEP HOLES	F30
F30/132	PERPEND JOINT PLASTICS WEEP HOLES	F30
F30/15	AIR BRICKS IN EXTERNAL WALLING	F30
F30/150	FULL FILL CAVITY INSULATION	F30
F30/155	PARTIAL FILL CAVITY INSULATION	F30
F30/16	GRATINGS/ VENTILATORS IN INTERNAL WALLING	F30
F30/160	AIR BRICKS IN EXTERNAL WALLING	F30
F30/165	GRATINGS/ VENTILATORS IN INTERNAL WALLING	F30
F30/17	VENTILATION DUCTS IN EXTERNAL WALLING	F30
F30/171	VENTILATION DUCTS IN EXTERNAL WALLING	F30
F30/175	CAVITY VENTILATORS	F30
F30/18	CAVITY CLOSERS	F30
F30/180	CAVITY CLOSERS	F30
F30/185	TRANSMITTED NOISE REDUCTION SYSTEM	F30
F30/20	CAVITY WALL TIES	F30
F30/21	CAVITY WALL TIES USED WITH PARTIAL INSULATION	F30
F30/210	CAVITY WALL TIES	F30
F30/211	CAVITY WALL TIES USED WITH PARTIAL FILL INSULATION	F30
F30/214	CAVITY WALL TIES	F30
F30/215	CAVITY WALL TIES USED WITH PARTIAL FILL INSULATION	F30
F30/216	SHEAR WALL TIES	F30
F30/218	SHEAR WALL TIES	F30
F30/220	WALL TIES	F30
F30/224	INDIVIDUAL BRACKETS	F30
F30/225	FIXING TIES IN MASONRY CAVITY WALLS	F30
F30/228	FIXING TIES IN MASONRY CAVITY WALLS WITH FULL FILL CAVITY INSULATION	F30
F30/233	FIXING TIES IN MASONRY CAVITY WALLS WITH PARTIAL FILL CAVITY INSULATION	F30
F30/236	FIXING TIES IN MASONRY CLADDING TO TIMBER FRAMES	F30
F30/24	CAVITY WALL TIES	F30
F30/241	WALL STARTERS/ CONNECTORS	F30
F30/242	SURFACE MOUNTED CHANNELS/ SLOTS	F30
F30/245	CHANNEL/ SLOT TIES	F30
F30/248	CHANNEL/ SLOT TIES  USED WITH PARTIAL FILL INSULATION	F30
F30/25	CAVITY WALL TIES USED WITH PARTIAL FILL INSULATION	F30
F30/250	SLIDING ANCHOR RESTRAINT SLIP TIES	F30
F30/251	WALL HEAD RESTRAINT SLIP TIES	F30
F30/255	WIND POSTS	F30
F30/26	WALL TIES	F30
F30/260	ANGLE SUPPORTS	F30
F30/265	SUPPORT SYSTEM	F30
F30/270	MESHWORK JOINT REINFORCEMENT	F30
F30/28	FIXING TIES IN MASONRY CAVITY WALLS	F30
F30/280	LATERAL RESTRAINT NONPROPRIETARY SLIP TIES FOR MOVEMENT JOINTS	F30
F30/281	LATERAL RESTRAINT PROPRIETARY SLIP TIES FOR MOVEMENT JOINTS	F30
F30/282	GENERAL PURPOSE SLIP TIES FOR MOVEMENT JOINTS	F30
F30/290	PROPRIETARY SPECIAL FIXINGS	F30
F30/291	SPECIAL FIXINGS	F30
F30/310	DAMP PROOF COURSE - BITUMEN BASED	F30
F30/320	DAMP PROOF COURSE - POLYETHYLENE	F30
F30/33	FIXING TIES IN MASONRY CAVITY WALLS WITH PARTIAL FILL CAVITY INSULATION	F30
F30/330	DAMP PROOF COURSE -	F30
F30/340	SITE FORMED FLEXIBLE SHEET CAVITY TRAYS - BITUMEN BASED	F30
F30/345	SITE FORMED FLEXIBLE SHEET CAVITY TRAYS	F30
F30/360	GAS RESISTANT DPCS/ CAVITY TRAYS	F30
F30/37	FIXING TIES IN MASONRY CLADDING TO TIMBER FRAMES	F30
F30/370	PREFORMED CAVITY TRAYS	F30
F30/380	PREFORMED DPC/ CAVITY TRAY JUNCTION CLOAKS/ STOP ENDS	F30
F30/385	PREFORMED DPC/ CAVITY TRAY JUNCTION CLOAKS/ STOP ENDS	F30
F30/39	WALL STARTERS/ CONNECTORS	F30
F30/390	SITE FORMED DPC/ CAVITY TRAY JUNCTIONS/ STOP ENDS	F30
F30/40	SURFACE MOUNTED CHANNELS/ SLOTS	F30
F30/415	HORIZONTAL DPCS	F30
F30/42	MESHWORK JOINT REINFORCEMENT	F30
F30/425	GROUND LEVEL DPCS	F30
F30/435	STEPPED DPCS IN EXTERNAL WALLS	F30
F30/44	DAMP PROOF COURSE - BITUMEN BASED	F30
F30/445	SILL DPCS	F30
F30/455	COPING/ CAPPING DPCS	F30
F30/46	DAMP PROOF COURSE - POLYETHYLENE	F30
F30/465	SEALING DPCS	F30
F30/475	SITE FORMED CAVITY TRAYS	F30
F30/48	DAMP PROOF COURSE	F30
F30/485	CAVITY TRAYS OVER OPENINGS AND OTHER CAVITY BRIDGINGS	F30
F30/495	GAS RESISTANT DPCS/ CAVITY TRAYS	F30
F30/5	CAVITIES	F30
F30/515	DPC/ CAVITY TRAY LEADING EDGE IN FACEWORK - FLUSH	F30
F30/52	SITE FORMED FLEXIBLE SHEET CAVITY TRAYS	F30
F30/525	DPC/ CAVITY TRAY LEADING EDGE IN FACEWORK - SET BACK	F30
F30/535	DPC/ CAVITY TRAY LEADING EDGE IN FACEWORK - PROJECTING	F30
F30/54	GAS RESISTANT DPCS/ CAVITY TRAYS	F30
F30/56	PREFORMED CAVITY TRAYS	F30
F30/560	VERTICAL DPCS GENERALLY	F30
F30/570	JAMB DPCS AT OPENINGS	F30
F30/58	PREFORMED DPC/ CAVITY TRAY JUNCTION CLOAKS/ STOP ENDS	F30
F30/580	JAMB DPCS TO BUILT IN TIMBER FRAMES	F30
F30/610	MOVEMENT JOINTS WITH SEALANT	F30
F30/615	MOVEMENT JOINTS WITHOUT SEALANT	F30
F30/616	FIRE RESISTANT MOVEMENT JOINTS WITHOUT SEALANT	F30
F30/62	SITE FORMED DPC/ CAVITY TRAY JUNCTIONS/ STOP ENDS	F30
F30/630	UNEXPOSED CONTRACTION JOINTS	F30
F30/650	POINTING IN FLASHINGS	F30
F30/655	POINTING IN ASPHALT SKIRTINGS	F30
F30/66	INSTALLATION OF HORIZONTAL DPCS	F30
F30/660	PINNING UP TO SOFFITS	F30
F30/670	TOPS OF NONLOADBEARING WALLS	F30
F30/68	SEALING DPCS	F30
F30/7	PERPEND JOINT WEEP HOLES	F30
F30/72	INSTALLATION OF GAS RESISTANT DPCS/ CAVITY TRAYS	F30
F30/720	SILLS	F30
F30/721	NATURAL STONE SILLS LAID IN HYDRAULIC LIME:SAND MORTAR	F30
F30/725	CAST STONE SILLS LAID IN CEMENT GAUGED MORTAR	F30
F30/726	CAST STONE SILLS LAID IN HYDRAULIC LIME:SAND MORTAR	F30
F30/735	PRECAST CONCRETE LINTELS	F30
F30/74	INSTALLATION OF VERTICAL DPCS	F30
F30/745	PRESTRESSED CONCRETE LINTELS	F30
F30/755	PREFABRICATED STEEL LINTELS	F30
F30/76	MOVEMENT JOINTS WITH SEALANT	F30
F30/760	COPING UNITS	F30
F30/761	NATURAL STONE COPING UNITS LAID IN HYDRAULIC LIME:SAND MORTAR	F30
F30/765	CAST STONE COPING UNITS LAID IN CEMENT GAUGED MORTAR	F30
F30/766	CAST STONE COPING UNITS LAID IN HYDRAULIC LIME:SAND MORTAR	F30
F30/770	CAST STONE DRESSINGS LAID IN CEMENT GAUGED MORTAR	F30
F30/771	CAST STONE DRESSINGS LAID IN HYDRAULIC LIME:SAND MORTAR	F30
F30/78	MOVEMENT JOINTS WITHOUT SEALANT	F30
F30/780	COPING SYSTEM	F30
F30/8	PERPEND JOINT PLASTICS WEEP HOLES	F30
F30/810	TILE SILLS	F30
F30/820	TILE CREASING	F30
F30/83	PRECAST CONCRETE LINTELS	F30
F30/830	BUILDING IN FRAMES	F30
F30/840	OPENINGS FOR FRAMES	F30
F30/85	PREFABRICATED STEEL LINTELS	F30
F30/850	WALL PLATES	F30
F30/86	TILE SILLS	F30
F30/88	CLAY/ CERAMIC FLUE LINING SYSTEM	F30
F30/89	CONCRETE FLUE LINING SYSTEM	F30
F30/910	CLAY/ CERAMIC FLUE LINING SYSTEM	F30
F30/915	CONCRETE FLUE LINING SYSTEM	F30
F30/92	CONCRETE FLUE BLOCK SYSTEM	F30
F30/920	CONCRETE FLUE BLOCK SYSTEM	F30
F30/923	CONCRETE FLUE BLOCK SYSTEM	F30
F30/925	CLAY/ CERAMIC FLUE BLOCK SYSTEM	F30
F30/93	CONCRETE FLUE BLOCK SYSTEM	F30
F30/930	FIREPLACE COMPONENTS	F30
F30/94	FIREPLACE COMPONENTS	F30
F30/940	CHIMNEY POTS	F30
F30/96	CHIMNEY POTS	F30
F30/970	REFUSE CHUTES AND ACCESSORIES	F30
F31	PRECAST CONCRETE SILLS/ LINTELS/ COPINGS/ FEATURES	F
F31/10	CONCEALED PRECAST LINTELS	F31
F31/105	PRECAST	F31
F31/112	DESIGNATED CONCRETE PRECAST	F31
F31/122	DESIGNED CONCRETE PRECAST	F31
F31/125	SUBSTITUTION OF PROPRIETARY CONCRETE FOR DESIGNATED CONCRETE	F31
F31/130	CONCEALED PRECAST LINTELS	F31
F31/140	CONCEALED PRECAST LINTELS	F31
F31/150	CONCEALED PRECAST	F31
F31/20	MOULDS	F31
F31/210	MOULDS	F31
F31/220	CONCRETE GENERALLY	F31
F31/25	REINFORCEMENT	F31
F31/250	REINFORCEMENT	F31
F31/255	QUALITY ASSURANCE OF REINFORCEMENT	F31
F31/260	CASTING AND CURING	F31
F31/261	CUTTING	F31
F31/262	RECORDS	F31
F31/30	CASTING AND CURING	F31
F31/310	CONTROL SAMPLES	F31
F31/32	CUTTING	F31
F31/320	DETAILS OF SAMPLES	F31
F31/330	MIXES FOR VISIBLE FACED COMPONENTS	F31
F31/341	CONDITIONS FOR SEPARATE FACING AND BACKING MIXES	F31
F31/35	CONDITIONS FOR SEPARATE FACING AND BACKING MIXES	F31
F31/350	QUALITY OF FINISHES	F31
F31/365	COVER ON EXPOSED AGGREGATE FACES	F31
F31/370	COVER ON VISIBLE FACES	F31
F31/380	CONSISTENCY OF PRODUCTION METHODS	F31
F31/390	INSPECTION	F31
F31/40	LAYING	F31
F31/420	LAYING	F31
F31/430	SUPPORT OF EXISTING WORK OVER NEW LINTELS	F31
F31/440	ONE PIECE SILLS/ THRESHOLDS	F31
F31/45	SUPPORT OF EXISTING WORK OVER NEW LINTELS	F31
F31/5	DESIGNATED CONCRETE PRECAST	F31
F31/7	SUBSTITUTION OF PROPRIETARY CONCRETE FOR DESIGNATED CONCRETE	F31
F42	STRAW BALE WALLING SYSTEMS	F
F42/110	UNFRAMED STRAW BALE WALLING SYSTEM	F42
F42/120	FRAMED STRAW BALE WALLING SYSTEM	F42
F42/205	CONTRACTOR'S DESIGN	F42
F42/208	COMPLETION OF DESIGN	F42
F42/211	STRUCTURAL DESIGN PROVIDED	F42
F42/230	FIRE PERFORMANCE	F42
F42/240	WEATHERTIGHTNESS	F42
F42/250	DURABILITY	F42
F42/260	THERMAL PERFORMANCE	F42
F42/305	DAMP-PROOF COURSES	F42
F42/307	FLOOR PLATES	F42
F42/310	STRAW BALES	F42
F42/312	PREFABRICATED PANELS	F42
F42/315	STRAW	F42
F42/320	POLYPROPYLENE BALING TWINE	F42
F42/325	STAINLESS STEEL WIRE	F42
F42/330	HAZEL PINS	F42
F42/335	STRAPPING	F42
F42/340	LINTELS	F42
F42/345	LINTEL INSULATION	F42
F42/350	HOLDING-DOWN BOLTS	F42
F42/360	ORIENTED STRAND BOARD	F42
F42/365	PLYWOOD	F42
F42/370	SOFTWOOD	F42
F42/380	ADHESIVES	F42
F42/385	NAILS	F42
F42/390	SCREWS	F42
F42/395	NAILING BLOCKS	F42
F42/400	FLASHINGS AND WEATHERINGS	F42
F42/410	EARTH	F42
F42/415	LIME	F42
F42/420	SAND	F42
F42/425	WATER REPELLENT ADDITIVE	F42
F42/430	METAL LATH AND MESH	F42
F42/435	STAPLES AND HOOPS	F42
F42/510	STRAW BALES, BESPOKE	F42
F42/610	TEMPORARY WORK	F42
F42/615	INSTALLING DAMP-PROOF COURSES	F42
F42/620	BUILDING IN	F42
F42/625	LAYING BALES	F42
F42/630	WALL CONSTRUCTION TOLERANCES	F42
F42/635	LINTELS SUPPORTING BALE COURSES	F42
F42/640	INSTALLING HOLDING-DOWN BOLTS	F42
F42/650	WALL PLATES	F42
F42/655	INSTALLING WALL PLATES	F42
F42/660	DOOR AND WINDOW CASINGS	F42
F42/670	DOOR AND WINDOW FRAME REVEALS	F42
F42/680	APPLYING ADHESIVES	F42
F42/690	INSTALLING CASINGS AND FRAME REVEALS	F42
F42/700	INSTALLING FLASHINGS AND WEATHERINGS	F42
F42/710	EARTH PLASTER AND RENDER	F42
F42/715	EARTH PLASTERING AND RENDERING	F42
F42/810	SUBMITTALS	F42
F42/820	TEMPORARY WORK	F42
F42/830	SPARES	F42
G	STRUCTURAL/CARCASSING METAL/TIMBER
G10	STRUCTURAL STEEL FRAMING	G
G10/110	CONTRACTOR'S DESIGN OF JOINTS	G10
G10/111	CONTRACTOR'S DESIGN OF MEMBERS AND JOINTS	G10
G10/112	CONTRACTOR'S DESIGN	G10
G10/115	DESIGN CONSTRAINTS - GENERAL	G10
G10/116	DESIGN CONSTRAINTS - STEELWORK TO BE GALVANIZED	G10
G10/120	DRAWINGS AND CALCULATIONS	G10
G10/123	DRAWINGS AND CALCULATIONS PREPARED BY CONTRACTOR	G10
G10/125	SPECIFICATION STANDARD	G10
G10/130	GENERAL STEEL SECTIONS AND PLATES	G10
G10/135	HOLLOW STEEL SECTIONS	G10
G10/150	STEEL FRAMING SYSTEM	G10
G10/155	FLAT TO PITCH ROOF FRAMING SYSTEM	G10
G10/160	SPACE GRID SYSTEM	G10
G10/170	COLD-FORMED GALVANIZED STEEL	G10
G10/176	PROFILED SHEET FOR SHUTTERING/ COMPOSITE FLOOR SLABS	G10
G10/178	FIXING PROFILED SHEET TO STEELWORK	G10
G10/180	NOTIFICATION OF COMMENCEMENT	G10
G10/190	MARKING	G10
G10/195	HARD STAMPING	G10
G10/200	FAYING SURFACES FOR FRICTION GRIP CONNECTIONS	G10
G10/210	END CONNECTIONS	G10
G10/215	HOLLOW SECTIONS	G10
G10/220	ACCESS/ VENTILATION HOLES IN BASE PLATES	G10
G10/225	STEELWORK TO BE GALVANIZED	G10
G10/235	SHOP INSPECTION	G10
G10/240	TRIAL SHOP ASSEMBLY	G10
G10/250	SPECIAL WELDING PROCEDURES	G10
G10/255	SITE WELDING	G10
G10/270	ADDITIONAL WELDS	G10
G10/280	SHEAR CONNECTORS	G10
G10/285	PROPRIETARY SHEAR CONNECTORS	G10
G10/302	NON-PRELOADED BOLT ASSEMBLIES	G10
G10/303	PRELOADED BOLT ASSEMBLIES	G10
G10/304	PROPRIETARY BOLT ASSEMBLIES	G10
G10/305	PROPRIETARY ANCHORS	G10
G10/310	ANCHORAGES TO CONCRETE	G10
G10/325	DIRECT TENSION INDICATORS	G10
G10/335	SPRING WASHERS	G10
G10/370	GALVANIZED COATING TO BOLT ASSEMBLIES	G10
G10/375	SHERARDIZED COATING TO BOLT ASSEMBLIES	G10
G10/380	ZINC PLATED FINISH TO BOLT ASSEMBLIES	G10
G10/390	SEALED HOLLOW SECTIONS	G10
G10/405	OUTLINE METHOD OF ERECTION	G10
G10/410	PRE-ERECTION CHECKS	G10
G10/420	SETTING OUT	G10
G10/425	MODIFICATIONS	G10
G10/432	TEMPORARY SUPPORT	G10
G10/440	COLUMN BASES	G10
G10/441	MORTAR FILLING/ BEDDING OF COLUMN BASES	G10
G10/442	FINE CONCRETE FILLING/ BEDDING OF COLUMN BASES	G10
G10/443	PROPRIETARY FILLING/ BEDDING OF COLUMN BASES	G10
G10/445	MOVEMENT JOINTS	G10
G10/447	BONDED ANCHORS	G10
G10/465	TESTING	G10
G10/467	EXCEPTIONS TO NSSS REQUIREMENTS FOR WELD TESTING	G10
G10/470	SITE TESTING OF ANCHORS TO MASONRY	G10
G10/475	PRODUCTS	G10
G10/510	SURFACES NOT TO BE COATED	G10
G10/521	ALTERNATIVE MANUFACTURERS	G10
G10/523	COMPATIBILITY OF SHOP PRIMER WITH SITE APPLIED INTUMESCENT COATING	G10
G10/535	INSPECTION OF COATING WORK	G10
G10/550	POST-GALVANIZING INSPECTION	G10
G10/610	GALVANIZING TO CHEMICALLY CLEANED STEEL	G10
G10/620	GALVANIZING TO BLAST CLEANED STEEL	G10
G10/630	GALVANIZING PLUS SITE APPLIED	G10
G10/633	THERMALLY SPRAYED ZINC COATING	G10
G10/635	THERMALLY SPRAYED ZINC COATING PLUS SITE APPLIED	G10
G10/638	SHOP PRIMING FOR	G10
G10/640	SHOP PAINTING WITH	G10
G10/643	PROTECTIVE PAINTING	G10
G10/650	SITE PAINTING WITH	G10
G10/660	SHOP PLUS SITE PAINTING WITH	G10
G10/710	OFFSITE PREPARATION AND PAINTING	G10
G10/725	MANUAL CLEANING OF NEW STEELWORK	G10
G10/730	PREPARATION FOR SITE WELDING OF SHOP PAINTED STEELWORK	G10
G10/735	TREATMENT OF SITE WELDED JOINTS IN PAINTED STEELWORK	G10
G10/736	TREATMENT OF SITE WELDED JOINTS IN GALVANIZED STEELWORK	G10
G10/740	BOLTED JOINTS (OTHER THAN FRICTION GRIP JOINTS)	G10
G10/745	FAYING SURFACES OF FRICTION GRIP JOINTS	G10
G10/750	FRICTION GRIP JOINTS IN SHOP PAINTED STEELWORK	G10
G10/755	UNCOATED FASTENERS	G10
G10/760	GALVANIZED FASTENERS	G10
G10/765	SITE PREPARATION OF SHOP PAINTED STEELWORK	G10
G10/770	SITE PREPARATION OF GALVANIZED SURFACES FOR PAINTING	G10
G10/810	ENVIRONMENTAL CONDITIONS	G10
G10/815	COATINGS	G10
G10/820	FILM THICKNESS	G10
G10/825	STRIPE COAT	G10
G10/850	JUNCTIONS WITH CONCRETE	G10
G12	ISOLATED STRUCTURAL METAL MEMBERS	G
G12/320	STEEL	G12
G12/330	PROPRIETARY	G12
G12/340	BOLT ASSEMBLIES	G12
G12/350	PROPRIETARY ANCHORS	G12
G12/510	FABRICATION OF STEEL MEMBERS	G12
G12/610	INSTALLATION	G12
G12/620	BONDED ANCHORS	G12
G12/630	SITE TESTING OF ANCHORS TO MASONRY	G12
G12/640	PREPARATION AND PRIMING	G12
G12/650	SHOP PRIMING	G12
G12/910	STEEL TO TIMBER JOINTS	G12
G20	CARPENTRY/ TIMBER FRAMING/ FIRST FIXING	G
G20/105	TIMBER PROCUREMENT	G20
G20/115	CONTRACTOR'S STRUCTURAL DESIGN	G20
G20/120	STRUCTURAL DESIGN PROVIDED	G20
G20/150	STRENGTH GRADING OF TIMBER	G20
G20/160	GRADING AND MARKING OF SOFTWOOD	G20
G20/210	STRUCTURAL SOFTWOOD (GRADED DIRECT TO STRENGTH CLASS)	G20
G20/230	STRUCTURAL SOFTWOOD (STRENGTH CLASS NOT SPECIFIED)	G20
G20/250	STRUCTURAL HARDWOOD (GRADED DIRECT TO STRENGTH CLASS)	G20
G20/260	STRUCTURAL HARDWOOD (STRENGTH CLASS NOT SPECIFIED)	G20
G20/270	UNGRADED SOFTWOOD	G20
G20/275	WOOD TRIM	G20
G20/310	STRUCTURAL PLYWOOD	G20
G20/311	NON-STRUCTURAL PLYWOOD	G20
G20/320	TEMPERED HARDBOARD	G20
G20/330	GLUED LAMINATED TIMBER	G20
G20/331	PROPRIETARY GLUED LAMINATED TIMBER	G20
G20/334	CROSS-LAMINATED TIMBER PANELS	G20
G20/336	STRUCTURAL WOOD COMPOSITE	G20
G20/341	PREFABRICATED STRUCTURAL WOOD COMPOSITE	G20
G20/345	PROPRIETARY STRUCTURAL WOOD COMPOSITE	G20
G20/347	STRUCTURAL INSULATED ROOF PANELS	G20
G20/348	STRUCTURAL INSULATED WALL PANELS	G20
G20/350	TRUSSED RAFTERS	G20
G20/401	CROSS SECTION DIMENSIONS OF STRUCTURAL SOFTWOOD AND HARDWOOD	G20
G20/402	CROSS SECTION DIMENSIONS OF NONSTRUCTURAL SOFTWOOD	G20
G20/403	CROSS SECTION DIMENSIONS OF NONSTRUCTURAL HARDWOOD	G20
G20/420	WARPING OF TIMBER	G20
G20/430	SELECTION AND USE OF TIMBER	G20
G20/435	NOTCHES, HOLES AND JOINTS IN TIMBER	G20
G20/440	PROCESSING TREATED TIMBER	G20
G20/450	MOISTURE CONTENT	G20
G20/451	MOISTURE CONTENT TESTING	G20
G20/460	PROTOTYPES	G20
G20/470	COMPONENT TESTING	G20
G20/480	TRUSSED RAFTER TESTING	G20
G20/510	PROTECTION	G20
G20/520	EXPOSED END GRAIN	G20
G20/530	PAINTED FINISHES	G20
G20/540	CLEAR FINISHES	G20
G20/550	EXPOSED TIMBER	G20
G20/570	JOINTING/FIXING GENERALLY	G20
G20/580	FRAMING ANCHORS	G20
G20/590	METAL PLATE FASTENERS/GUSSETS	G20
G20/600	BLACK BOLTS AND NUTS	G20
G20/615	BOLT/ SCREW ASSEMBLIES	G20
G20/630	BOLTED JOINTS	G20
G20/640	BOLTED JOINTS WITH CONNECTORS	G20
G20/650	GLUED JOINTS	G20
G20/660	PURPOSE MADE	G20
G20/670	ANTI-CORROSION FINISHES FOR FASTENERS	G20
G20/710	PROPOSALS FOR ERECTING STRUCTURAL TIMBER	G20
G20/715	BONDED ANCHORS	G20
G20/721	EXPANSION ANCHORS	G20
G20/725	HAMMER-IN FASTENERS	G20
G20/730	DEFORMED RODS	G20
G20/740	PRE-ERECTION CHECKING	G20
G20/750	MODIFICATIONS/REPAIRS	G20
G20/760	TEMPORARY BRACING	G20
G20/770	ADDITIONAL SUPPORTS	G20
G20/775	BEARINGS	G20
G20/780	WALL PLATES	G20
G20/784	JOISTS GENERALLY	G20
G20/786	JOISTS ON HANGERS	G20
G20/790	STANDARD JOIST HANGERS	G20
G20/791	PROPRIETARY JOIST HANGERS	G20
G20/795	TRIMMING OPENINGS	G20
G20/800	TRUSSED RAFTER INSTALLATION	G20
G20/805	TRUSS CLIPS	G20
G20/810	PERMANENT BRACING OF TRUSSED RAFTERS	G20
G20/820	VERTICAL RESTRAINT STRAPS	G20
G20/830	LATERAL RESTRAINT STRAPS	G20
G20/840	STRUTTING TO FLOOR JOISTS	G20
G20/850	INSPECTION GENERALLY	G20
G20/860	BOLTED JOINTS INSPECTION	G20
G20/870	ANCHOR TESTING	G20
G20/900	EAVES SOFFIT VENTILATORS	G20
G20/910	EAVES SOFFIT VENTILATION	G20
G20/950	FASCIAS/ BARGES/ SOFFITS	G20
G30	METAL PROFILED SHEET DECKING	G
G30/110	METAL PROFILED SHEET DECKING	G30
G30/150	STRUCTURAL DESIGN OF ROOF DECKING	G30
G30/160	STRUCTURAL DESIGN OF FLOOR DECKING	G30
G30/170	STRUCTURAL DESIGN OF DECKING	G30
G30/180	DESIGN REQUIREMENTS FOR DECKING	G30
G30/220	PAINTING STRUCTURE	G30
G30/230	PREVENTION OF ELECTROLYTIC ACTION	G30
G30/240	FIRE RESISTING PROFILE FILLERS	G30
G30/260	FIXING DECKING GENERALLY	G30
G30/280	ATTACHMENT OF DECKING	G30
G30/285	ATTACHMENT OF DECKING AND ACCESSORIES	G30
G30/290	COLD FORMED METAL ACCESSORIES	G30
H	CLADDING/COVERING
H10	PATENT GLAZING	H
H10/115	PATENT GLAZING	H10
H10/120	MATERIALS SPECIFICATION	H10
H10/205	CONTRACTOR'S DESIGN	H10
H10/210	COMPLETION OF DESIGN	H10
H10/215	STRUCTURAL DESIGN PROVIDED	H10
H10/221	PRODUCT SAMPLES	H10
H10/231	FASTENER SAMPLES	H10
H10/311	REQUIREMENTS GENERALLY	H10
H10/321	VERIFICATION OF PERFORMANCE	H10
H10/341	FIRE RESISTANCE	H10
H10/351	SURFACE SPREAD OF FLAME	H10
H10/361	WATER PENETRATION	H10
H10/365	WATER PENETRATION OF ROOF PATENT GLAZING	H10
H10/371	HEAT CONSERVATION	H10
H10/381	CONDENSATION	H10
H10/391	SOLAR AND LIGHT CONTROL	H10
H10/401	THERMAL SAFETY	H10
H10/411	ACOUSTIC PROPERTIES	H10
H10/421	SECURITY	H10
H10/431	SECURITY DESIGN	H10
H10/450	PROJECT TESTING (LABORATORY)	H10
H10/475	DAYLIGHT PERFORMANCE	H10
H10/480	VIEW OUT	H10
H10/485	POTENTIAL FOR NATURAL VENTILATION	H10
H10/510	WORKMANSHIP GENERALLY	H10
H10/520	GLASS	H10
H10/530	HEAT SOAKING OF THERMALLY TOUGHENED GLASS	H10
H10/540	INSULATING GLASS UNITS	H10
H10/550	PLASTICS GLAZING	H10
H10/560	INFILLING	H10
H10/570	SUITABILITY OF STRUCTURE	H10
H10/575	OPENABLE WINDOWS IN NATURALLY VENTILATED BUILDINGS	H10
H10/580	PROTECTION AND FINAL CLEANING	H10
H11	CURTAIN WALLING	H
H11/10	INFORMATION TO BE PROVIDED WITH TENDER	H11
H11/110	CURTAIN WALLING	H11
H11/130	SUN SCREENS	H11
H11/135	DOORS	H11
H11/140	LOUVRES	H11
H11/145	INTEGRATED ACCESS EQUIPMENT	H11
H11/150	MATERIALS SPECIFICATION	H11
H11/210	DESIGN	H11
H11/215	DESIGN PROPOSALS	H11
H11/220	SPECIFICATION	H11
H11/230	INFORMATION TO BE PROVIDED DURING DETAILED DESIGN STAGE	H11
H11/232	QUALITY PLAN	H11
H11/235	INFORMATION TO BE PROVIDED BEFORE COMMENCEMENT TESTING OR FABRICATION OF CURTAIN WALLING	H11
H11/240	INFORMATION TO BE PROVIDED BEFORE COMMENCEMENT OF STRUCTURAL SEALANT GLAZING	H11
H11/250	PRODUCT SAMPLES	H11
H11/260	SAMPLES OF FIXINGS	H11
H11/270	FABRICATION SAMPLES	H11
H11/280	MOCK-UP	H11
H11/305	CWCT 'STANDARD FOR SYSTEMISED BUILDING ENVELOPES'	H11
H11/311	INTEGRITY	H11
H11/312	INTEGRITY	H11
H11/313	INTEGRITY	H11
H11/320	DEFLECTION UNDER DEAD LOADS	H11
H11/325	DEFLECTION UNDER WIND LOAD	H11
H11/330	GENERAL MOVEMENT	H11
H11/332	APPEARANCE AND FIT	H11
H11/335	THERMAL MOVEMENT - SERVICE TEMPERATURE RANGES	H11
H11/340	AIR PERMEABILITY	H11
H11/345	AIR PERMEABILITY EXFILTRATION	H11
H11/350	WATER PENETRATION	H11
H11/370	THERMAL PROPERTIES	H11
H11/380	SOLAR AND LIGHT CONTROL	H11
H11/385	THERMAL STRESS IN GLAZING	H11
H11/390	AVOIDANCE OF CONDENSATION	H11
H11/410	SOUND TRANSMITTANCE	H11
H11/420	FIRE RESISTANCE OF CURTAIN WALLING	H11
H11/425	INTERNAL SURFACE SPREAD OF FLAME OF CURTAIN WALLING	H11
H11/430	FIRE STOPPING	H11
H11/435	OPENING LIGHTS (WINDOWS)	H11
H11/436	DOORS AND OTHER ACCESS FACILITIES	H11
H11/437	LOUVRES	H11
H11/440	DURABILITY	H11
H11/445	LIGHTNING PROTECTION SYSTEM	H11
H11/450	SAFETY	H11
H11/460	STRUCTURAL SEALANT GLAZING REQUIREMENTS	H11
H11/475	DAYLIGHT PERFORMANCE	H11
H11/480	VIEW OUT	H11
H11/485	POTENTIAL FOR NATURAL VENTILATION	H11
H11/510	COMPARISON (TYPE) TESTING	H11
H11/515	PROJECT TESTING (LABORATORY)	H11
H11/520	PROJECT TESTING (SITE)	H11
H11/530	TESTING AUTHORITY	H11
H11/535	TESTING AUTHORITY	H11
H11/540	TEST SPECIMEN	H11
H11/550	TEST SEQUENCE - STANDARD LABORATORY TESTS	H11
H11/555	TEST SEQUENCE - STANDARD LABORATORY TESTS	H11
